country_id,city_code,name,city_code_name
1,1017,municipiul alba iulia,siruta
1,403,municipiul bucureşti,siruta
1,1026,alba iulia,siruta
1,1035,bãrãbanţ,siruta
1,1044,miceşti,siruta
1,1053,oarda,siruta
1,1062,pâclişa,siruta
1,34752,sãrãţel,siruta
1,34878,lunca,siruta
1,34887,ruştior,siruta
1,34896,sebiş,siruta
1,34958,cociu,siruta
1,73380,balota de jos,siruta
1,73406,buşteni,siruta
1,73415,gaia,siruta
1,73424,murgaşi,siruta
1,123852,pârâul fagului,siruta
1,123843,petru vodã,siruta
1,123861,poiana largului,siruta
1,123870,roşeni,siruta