id, acl_object_identity, ace_order, sid, mask, granting, audit_success, audit_failure
1, 1, 1, 1, 1, 1, 1, 1
2, 2, 1, 1, 1, 1, 1, 1
3, 3, 1, 1, 1, 1, 1, 1
4, 1, 2, 1, 2, 1, 1, 1
5, 2, 2, 1, 2, 1, 1, 1
6, 3, 2, 1, 2, 1, 1, 1
7, 4, 1, 1, 1, 1, 1, 1
8, 5, 1, 1, 1, 1, 1, 1
9, 6, 1, 1, 1, 1, 1, 1
10, 7, 1, 1, 1, 1, 1, 1
11, 8, 1, 1, 1, 1, 1, 1
12, 9, 1, 1, 1, 1, 1, 1
13, 7, 2, 1, 2, 1, 1, 1
14, 8, 2, 1, 2, 1, 1, 1
15, 9, 2, 1, 2, 1, 1, 1
28, 4, 3, 2, 1, 1, 1, 1
29, 5, 3, 2, 1, 1, 1, 1
30, 6, 3, 2, 1, 1, 1, 1
31, 4, 4, 2, 2, 1, 1, 1
32, 5, 4, 2, 2, 1, 1, 1
33, 6, 4, 2, 2, 1, 1, 1
34, 7, 3, 2, 1, 1, 1, 1
35, 8, 3, 2, 1, 1, 1, 1
36, 9, 3, 2, 1, 1, 1, 1
37, 7, 4, 2, 2, 1, 1, 1
38, 8, 4, 2, 2, 1, 1, 1
39, 9, 4, 2, 2, 1, 1, 1
40, 7, 5, 3, 1, 1, 1, 1
41, 8, 5, 3, 1, 1, 1, 1
42, 9, 5, 3, 1, 1, 1, 1